Title,Latitude,Longitude,categories,Info Title,Title Place,hashes,score,userScore,heart,title,category,address,roadAddress,mapx,mapy
3일한우국밥,37.519939,126.904052," 국밥, 한우국밥",3일한우국밥,영등포 ,"다코숨은맛집, 혼밥,서민적인, 아침식사, 점심식사, 저녁식사, 24시간영업, 무료주차, 배달",76,4.3,160,<b>3일한우국밥</b>,한식>국밥,서울특별시 영등포구 영등포동4가 68-5,서울특별시 영등포구 영등포로 204,1269040524,375199394
정인면옥,37.530633,126.921752," 평양냉면, 순면",정인면옥,여의도 ,"생활의달인, 수요미식회, 맛있는녀석들, 식신로드, 식사모임,깔끔한, 점심식사, 저녁식사, 장애인편의시설, 무료주차, 배달",70,4.0,401,<b>정인면옥</b> 본점,한식>냉면,서울특별시 영등포구 여의도동 13-1 기독교침례회총회빌딩 1층,서울특별시 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층,1269217518,375306331
바스버거,37.524882,126.927315," 버거, 수제버거",바스버거,여의도 ,"데이트,캐주얼한, 점심식사, 저녁식사, 셀프바, 무료주차, 배달",67,4.1,95,<b>바스버거</b> 여의도점,양식>햄버거,서울특별시 영등포구 여의도동 24-1 율촌빌딩 지하1층,서울특별시 영등포구 국제금융로 20 율촌빌딩 지하1층,1269273154,375248824
세상의모든아침,37.522248,126.91986," 브런치, 파스타",세상의모든아침,여의도 ,"데이트,고급스러운, 아침식사, 점심식사, 저녁식사, 스카이라운지, 주차, 배달",64,3.8,612,<b>세상의모든아침</b>,음식점>브런치,"서울특별시 영등포구 여의도동 28-1 전경련회관 50층, 51층","서울특별시 영등포구 여의대로 24 전경련회관 50층, 51층",1269198605,375222482
아이엠베이글 여의도점,37.520157,126.931729," 베이글, 베이글샌드위치",아이엠베이글 여의도점,여의도 ,"혼밥,캐주얼한, 아침식사, 점심식사, 저녁식사, 테이크아웃, 주차, 배달",63,4.8,26,<b>아이엠베이글 여의도점</b>,음식점>브런치,서울특별시 영등포구 여의도동 43-4 롯데캐슬 아이비 지하1층,서울특별시 영등포구 국제금융로 86 롯데캐슬 아이비 지하1층,1269317293,375201573
타이문,37.520976,126.887172," 쌀국수, 태국음식",타이문,문래동 ,"혼밥,캐주얼한, 점심식사, 저녁식사, 제로페이, 주차, 배달",62,4.6,8,THAI MOON,음식점>태국음식,서울특별시 영등포구 문래동6가 29 1층 타이문,서울특별시 영등포구 선유로17길 24 1층 타이문,1268871723,375209756
리버타운 버거,37.515862,126.886842, 수제버거,리버타운 버거,문래동 ,"혼밥,캐주얼한, 점심식사, 저녁식사, 주차, 배달",61,4.8,8,<b>리버타운버거</b>,음식점>햄버거,서울특별시 영등포구 문래동5가 10 1층,서울특별시 영등포구 선유로3길 10 1층,1268868347,375157463
초밥마트,37.520319,126.885857, 초밥,초밥마트,문래 ,"혼밥,지역주민이찾는, 점심식사, 저녁식사, 테이크아웃, 주차, 배달",61,5.0,9,<b>초밥마트</b>,"일식>초밥,롤",서울특별시 영등포구 문래동6가 58 e편한세상 문래 에듀플라츠 상가 107호,서울특별시 영등포구 선유서로 50 e편한세상 문래 에듀플라츠 상가 107호,1268858571,375203229
사대부집곳간,37.522196,126.920208," 한식반상, 떡갈비",사대부집곳간,영등포구 ,"밥블레스유, 가족외식,고급스러운, 점심식사, 저녁식사, 장애인편의시설, 무료주차, 배달",61,4.2,159,<b>사대부집 곳간</b>,음식점>한식,"서울특별시 영등포구 여의도동 28-1 전경련회관 50, 51F","서울특별시 영등포구 여의대로 24 전경련회관 50, 51F",1269199653,375221973
마스터비엣,37.517429,126.896467," 쌀국수, 분짜",마스터비엣,문래동 ,"데이트,캐주얼한, 점심식사, 저녁식사, 포장가능, 무료주차, 배달",60,4.6,15,<b>마스터비엣</b>,음식점>베트남음식,서울특별시 영등포구 문래동3가 55-5 1층 106호,서울특별시 영등포구 당산로 34 1층 106호,1268956464,375176549
뚜스뚜스 카페&베이커리,37.538515,126.89337," 브런치, 베이커리",뚜스뚜스 카페&베이커리,선유도 ,"데이트,고급스러운, 아침식사, 점심식사, 저녁식사, 테이크아웃, 무료주차, 배달",59,4.3,32,<b>뚜스뚜스 카페&amp;베이커리</b>,"카페,디저트>베이커리",서울특별시 영등포구 양평동5가 62-3,서울특별시 영등포구 양평로 132,1268933696,375385145
을지다락 여의도,37.521805,126.925651," 오므라이스, 파스타",을지다락 여의도,여의도 ,"데이트,예쁜, 점심식사, 저녁식사, 무료주차, 배달",58,4.1,20,<b>을지다락 여의도</b>,음식점>양식,서울특별시 영등포구 여의도동 35-3 지하1층 11호,서울특별시 영등포구 여의나루로 50 지하1층 11호,1269256512,375218052
월화고기 문래점,37.5173,126.897067," 삼겹살, 돼지고기",월화고기 문래점,문래역 ,"술모임,서민적인, 점심식사, 저녁식사, 셀프바, 콜키지, 무료주차, 배달",58,4.2,39,<b>월화고기 문래점</b>,"한식>육류,고기요리",서울특별시 영등포구 문래동3가 55-5,서울특별시 영등포구 당산로 34,1268964938,375174632
제일제면소 여의도IFC점,37.525485,126.925217," 샤브샤브, 회전식샤브샤브",제일제면소 여의도IFC점,여의도ifc몰 ,"식사모임,깔끔한, 점심식사, 저녁식사, 무료주차, 배달",57,3.8,93,<b>제일제면소 여의도IFC</b>몰점,한식>국수,서울특별시 영등포구 여의도동 23 IFC몰 L3층,서울특별시 영등포구 국제금융로 10 IFC몰 L3층,1269252553,375253095
마츠노하나 더현대서울점,37.525917,126.928312," 텐동, 대창",마츠노하나 더현대서울점,더현대서울 ,"데이트,시끌벅적한, 점심식사, 저녁식사, 무료주차, 배달",57,3.7,6,<b>마츠노하나 더현대서울점</b>,일식>일식당,서울특별시 영등포구 여의도동 22 더현대서울 지하1층,서울특별시 영등포구 여의대로 108 더현대서울 지하1층,1269278694,375260053
